customer_id,productid,purchaseDate
41855,1020,2016-01-03 10:56:18
42060,1150,2016-01-03 13:22:54
42017,1150,2016-01-03 14:03:42
45060,1230,2016-01-04 07:52:53
48247,1330,2016-01-04 17:04:12
52011,1020,2016-01-06 11:23:12
50810,1080,2016-01-06 14:54:30
57540,1370,2016-01-07 15:32:34
58507,1370,2016-01-07 23:09:14
58505,1230,2016-01-07 23:34:46
59211,1370,2016-01-08 02:11:14
51811,1020,2016-01-10 12:30:44
66091,1110,2016-01-10 19:37:51
66419,1110,2016-01-10 19:51:24
7097,1370,2016-01-11 18:00:25
68879,1020,2016-01-12 11:07:56
5577,1370,2016-01-12 17:56:06
72750,1370,2016-01-12 22:22:17
60501,1020,2016-01-12 22:51:57
71677,1020,2016-01-13 12:49:08
78519,1020,2016-01-13 14:26:58
80769,1140,2016-01-14 02:50:48
80769,1110,2016-01-14 02:58:19
80769,1310,2016-01-14 03:08:05
70979,1150,2016-01-14 04:56:44
6767,1370,2016-01-15 00:25:52
84511,1110,2016-01-15 03:12:00
90101,1150,2016-01-16 19:22:07
94075,1070,2016-01-17 02:00:15
6890,1370,2016-01-17 15:37:40
597,1230,2016-01-18 15:28:16
861,1230,2016-01-19 06:48:48
99705,1150,2016-01-19 14:40:59
17247,1230,2016-01-23 18:01:57
21059,1150,2016-01-23 21:39:19
21059,1110,2016-01-23 21:41:53
21477,1020,2016-01-23 21:58:20
955,1370,2016-01-25 22:01:57
16297,1330,2016-01-25 22:05:39
79179,1370,2016-01-25 22:07:24
74907,1360,2016-01-25 22:07:41
19020,1370,2016-01-25 22:08:09
77549,1370,2016-01-25 22:11:07
74907,1070,2016-01-25 22:11:12
77549,1070,2016-01-25 22:13:04
1007,1370,2016-01-25 22:13:37
1011,1330,2016-01-25 22:14:17
82047,1370,2016-01-25 22:14:42
1021,1370,2016-01-25 22:16:02
1419,1370,2016-01-25 22:17:14
70879,1370,2016-01-25 22:22:40
1007,1370,2016-01-25 22:24:33
1057,1370,2016-01-25 22:30:33
86151,1370,2016-01-25 22:30:47
70879,1050,2016-01-25 22:32:41
1057,1050,2016-01-25 22:33:11
76907,1330,2016-01-25 22:36:57
12679,1370,2016-01-25 22:38:14
4079,1370,2016-01-25 22:39:09
1090,1370,2016-01-25 22:41:06
90170,1370,2016-01-25 22:45:27
1090,1050,2016-01-25 22:46:42
90170,1050,2016-01-25 22:53:46
6007,1370,2016-01-25 22:54:08
74005,1330,2016-01-25 22:54:09
1165,1370,2016-01-25 22:57:48
74005,1070,2016-01-25 22:59:37
29251,1370,2016-01-25 23:01:54
86100,1370,2016-01-25 23:03:32
29251,1050,2016-01-25 23:06:04
29251,1070,2016-01-25 23:08:33
90170,1070,2016-01-25 23:09:16
86177,1370,2016-01-25 23:09:26
70201,1330,2016-01-25 23:10:03
29251,1060,2016-01-25 23:11:11
70201,1050,2016-01-25 23:11:41
17447,1370,2016-01-25 23:13:16
1225,1370,2016-01-25 23:22:53
26185,1370,2016-01-25 23:23:49
1229,1370,2016-01-25 23:24:36
20481,1370,2016-01-25 23:41:31
88901,1370,2016-01-25 23:52:24
409,1370,2016-01-26 00:00:27
78017,1370,2016-01-26 00:25:34
78017,1060,2016-01-26 00:33:50
1075,1370,2016-01-26 00:33:58
44101,1370,2016-01-26 01:34:37
79740,1370,2016-01-26 01:40:10
61707,1330,2016-01-26 02:35:03
75905,1370,2016-01-26 03:03:11
75905,1070,2016-01-26 03:08:19
91479,1370,2016-01-26 04:56:00
91479,1070,2016-01-26 05:00:14
14821,1370,2016-01-26 06:53:19
2079,1370,2016-01-26 08:00:15
2079,1070,2016-01-26 08:11:53
60900,1370,2016-01-26 08:47:36
2459,1330,2016-01-26 10:37:49
2459,1050,2016-01-26 10:41:28
2459,1060,2016-01-26 10:43:20
91147,1370,2016-01-26 11:14:37
82080,1370,2016-01-26 11:54:14
2719,1330,2016-01-26 12:13:44
68865,1370,2016-01-26 12:38:18
2719,1230,2016-01-26 12:50:14
2900,1370,2016-01-26 13:03:49
2900,1050,2016-01-26 13:04:59
2900,1070,2016-01-26 13:05:37
70041,1370,2016-01-26 13:09:52
78105,1330,2016-01-26 13:24:39
78105,1050,2016-01-26 13:26:05
87009,1370,2016-01-26 13:28:32
16871,1370,2016-01-26 16:09:37
85147,1370,2016-01-26 16:15:46
855,1370,2016-01-26 17:08:55
87565,1110,2016-01-26 17:32:14
5560,1370,2016-01-26 17:36:48
79001,1370,2016-01-26 17:38:52
5560,1070,2016-01-26 17:39:52
25,1370,2016-01-26 18:34:24
5079,1370,2016-01-26 19:19:37
94019,1370,2016-01-26 19:42:14
4261,1370,2016-01-26 20:16:33
4020,1370,2016-01-26 20:49:47
4001,1370,2016-01-26 20:51:36
4049,1370,2016-01-26 20:55:28
88070,1370,2016-01-26 21:57:27
90050,1370,2016-01-26 23:40:56
87891,1370,2016-01-26 23:56:53
4829,1370,2016-01-27 00:25:39
591,1370,2016-01-27 00:41:28
