customer_id,city,state,country
4555,Milano,MI,Italy
5269,Gilbertsville,Pennsylvania,United States
5525,Smithfield,North Carolina,United States
5577,Choctaw,OK,United States
6007,Houston,TX,United States
6767,LEWISVILLE,TX,United States
6801,New York,NY,United States
6890,Sebastian,FL,United States
7097,Denver,Colorado,United States
7190,Glendale,AZ,United States
7577,Singapore,Singapore,Singapore
8061,Palm Beach Gardens,Florida,United States
8621,Kaysville,UT,United States
40010,Denver,CO,United States
9989,San Gabriel,CA,United States
40121,San Diego,CA,United States
40211,Irvine,CA,United States
41091,Scottsdale,az,United States
41120,Hyattsville,MD,United States
41711,Seoul,Seoul,South Korea
41801,Port Perry,Ontario,Canada
41855,MANORVILLE,New York,United States
41919,Cream Ridge,NJ,United States
41969,Corinth,TX,United States
42060,Greenville,SC,United States
42017,Glendale,AZ,United States
40069,Bucharest,Bucharest,Romania
40275,Manila,Ma,Philippines
40815,Orinda,California,United States
44020,Austin,TX,United States
44040,Preston,VIC,Australia
44101,Honolulu,HI,United States
44277,Marlborough,Massachusetts,United States
44029,Schenectady,New York,United States
44601,VANCOUVER,BC,Canada
45067,Sandy,Beds,United Kingdom
45060,Crewe,CHESHIRE,United Kingdom
46577,San Jose,California,United States
46560,Vancouver,bc,Canada
46751,Chicago,IL,United States
47551,Brooklyn,NY,United States
47895,Tilshead,Wiltshire,United Kingdom
47851,Walkersville,MD,United States
47985,Emeryville,CA,United States
48247,Slough,Berks,United Kingdom
48007,Shelby,IA,United States
48541,Isle Of Palms,SC,United States
49001,Hoboken,NJ,United States
49807,Cape town,western province,United Kingdom
50019,Frederiksberg C,Frederiksberg,Denmark
50080,Waller,TX,United States
50801,Bridgeport,CT,United States
50900,Riverview,Florida,United States
51121,Dallas,Texas,United States
51097,Adel,IA,United States
51785,Calgary,AB,Canada
51811,Matthews,NC,United States
52011,Boulder,CO,United States
52141,Birmingham,AL,United States
52245,Thornton,Colorado,United States
52079,Calgary,AB,Canada
50810,Mississauga,Ontario,Canada
54019,Studio City,California,United States
54209,Carlsbad,California,United States
54259,Snellville,GA,United States
54045,Colorado Springs,CO,United States
54467,Brandon,florida,United States
54571,Santa Clara,CA,United States
54600,Houston,tx,United States
54779,Emeryville,CA,United States
55005,Zebulon,nc,United States
55545,North Hollywood,California,United States
55609,St. Albert,AB,Canada
55640,Ventura,CA,United States
55787,Little Rock,Arkansas,United States
55965,Marlton,NJ,United States
56017,Grand Junction,CO,United States
56267,Modesto,CA,United States
56257,Berlin,Berlin,Germany
56280,Chelmsford,Essex,United Kingdom
56005,Azusa,Ca,United States
56605,Amsterdam,Noord-Holland,Netherlands
56869,Deerfield Beach,Florida,United States
56809,Powderly,Texas,United States
57445,Weston,FL,United States
57510,Miami,FL,United States
57540,St Albert,Alberta,Canada
57671,Islip Terrace,NY,United States
58247,Telford,Telford,United Kingdom
58507,Atlanta,ga,United States
58505,North Bethesda,Maryland,United States
59211,Flint,Michigan,United States
59040,Mandelieu la Napoule,6,France
59400,Albuquerque,New Mexico,United States
59477,Milwaukee,WI,United States
59841,Salford,United Kingdom,United Kingdom
59925,Lansdale,PA,United States
60501,Chicago,il,United States
60677,Nairobi,Nairobi,Kenya
